site,station,date,dtgw,longitude,latitude
3.12E+14,D-23-22 33ABD02 [ULLRICH],1/3/2006,15.89,-110.110575,31.39218056
3.14E+14,D-21-21 13BAB4 [MOSLNW],1/4/2006,8.05,-110.1676083,31.611775
3.14E+14,D-21-21 13BAB2 [MOSLND],1/4/2006,4.85,-110.1674778,31.6118972
3.14E+14,D-21-21 13BAB1 [MOSLNS],1/4/2006,4.91,-110.1674778,31.6119
3.14E+14,D-21-22 19CDB1 [CLRSUS],1/11/2006,16.05,-110.1500505,31.58576109
3.14E+14,D-21-22 19CDB2 [CLRSUD],1/11/2006,15.18,-110.1497172,31.5857333
3.14E+14,D-21-21 02DDC [CHB-LI],1/11/2006,5.68,-110.1753944,31.62744444
3.12E+14,D-23-22 33ABD02 [ULLRICH],1/29/2006,15.98,-110.110575,31.39218056
3.13E+14,D-22-22 06ABD [LSP-6],2/3/2006,28.34,-110.1457194,31.554
3.13E+14,D-22-22 06AAA7 [LSP-2],2/3/2006,4.41,-110.1409118,31.5534288
3.13E+14,D-22-22 06AAA6 [LSP-1],2/3/2006,9.41,-110.1403562,31.5534288
3.13E+14,D-22-22 06AAA5 [LSP-5],2/3/2006,4.54,-110.1403562,31.5534288
3.13E+14,D-22-22 06AAA3 [LSP-3],2/3/2006,9.07,-110.1409118,31.5534288
3.13E+14,D-22-22 06AAA4 [LSP-4],2/3/2006,9.54,-110.1403562,31.5534288
3.13E+14,D-22-22 06AAB [LSPUWD],2/3/2006,9.03,-110.1419444,31.55444444
3.13E+14,D-23-22 09ACD1 [HERSUS],2/15/2006,17.13,-110.1109222,31.44523056
3.13E+14,D-23-22 09ACD2 [HERSUD],2/15/2006,17.56,-110.1109278,31.4451861
3.13E+14,D-22-22 17ACC3 [COTBLM],2/15/2006,13.4,-110.1296389,31.5196
3.13E+14,D-23-22 09ACD1 [HERSUS],2/16/2006,17.12,-110.1109222,31.44523056
3.13E+14,D-23-22 09ACD2 [HERSUD],2/16/2006,17.57,-110.1109278,31.4451861
3.12E+14,D-23-22 33DCD2 [PALO DEEP],2/17/2006,14.96,-110.1103549,31.38010095
3.12E+14,D-24-22 04CBC2 [PALUWD],2/21/2006,17.1,-110.1221194,31.37070278
3.12E+14,D-24-22 04CBC1 [PALUWS],2/21/2006,17.84,-110.1221389,31.3707
3.14E+14,D-21-22 19CDB1 [CLRSUS],2/22/2006,15.96,-110.1500505,31.58576109
3.14E+14,D-21-22 19CDB2 [CLRSUD],2/22/2006,15.09,-110.1497172,31.5857333
3.14E+14,D-21-21 02DDC [CHB-LI],2/22/2006,5.52,-110.1753944,31.62744444
3.13E+14,D-22-22 17ACC3 [COTBLM],3/6/2006,13.31,-110.1296389,31.5196
3.13E+14,D-22-22 17BDD2 [COTUWD],3/6/2006,2.31,-110.1317528,31.51913889
3.12E+14,D-23-22 33ABD02 [ULLRICH],4/9/2006,15.69,-110.110575,31.39218056
3.14E+14,D-21-22 19CDB1 [CLRSUS],4/14/2006,15.96,-110.1500505,31.58576109
3.14E+14,D-21-22 19CDB2 [CLRSUD],4/14/2006,15.02,-110.1497172,31.5857333
3.12E+14,D-24-22 04CBC1 [PALUWS],4/22/2006,17.25,-110.1221389,31.3707
3.13E+14,D-22-22 06ABD [LSP-6],5/11/2006,28.58,-110.1457194,31.554
3.13E+14,D-22-22 06AAA7 [LSP-2],5/11/2006,4.71,-110.1409118,31.5534288
3.13E+14,D-22-22 06AAA6 [LSP-1],5/11/2006,10.07,-110.1403562,31.5534288
3.13E+14,D-22-22 06AAA5 [LSP-5],5/11/2006,4.87,-110.1403562,31.5534288
3.13E+14,D-22-22 06AAA3 [LSP-3],5/11/2006,9.72,-110.1409118,31.5534288
3.13E+14,D-22-22 06AAA4 [LSP-4],5/11/2006,10.2,-110.1403562,31.5534288
3.13E+14,D-22-22 06AAB [LSPUWD],5/11/2006,9.64,-110.1419444,31.55444444
3.12E+14,D-23-22 33ABD02 [ULLRICH],6/4/2006,17.13,-110.110575,31.39218056
3.12E+14,D-24-22 04CBC2 [PALUWD],6/14/2006,17.65,-110.1221194,31.37070278
3.12E+14,D-24-22 04CBC1 [PALUWS],6/14/2006,18.19,-110.1221389,31.3707
3.13E+14,D-23-22 09ACD1 [HERSUS],6/14/2006,17.77,-110.1109222,31.44523056
3.13E+14,D-23-22 09ACD2 [HERSUD],6/14/2006,18.16,-110.1109278,31.4451861
3.13E+14,D-22-22 17ACC3 [COTBLM],6/14/2006,15.39,-110.1296389,31.5196
3.14E+14,D-21-21 02DDC [CHB-LI],6/15/2006,6.66,-110.1753944,31.62744444
3.14E+14,D-21-21 02DDC [CHB-LI],6/28/2006,7.31,-110.1753944,31.62744444
3.14E+14,D-21-21 02DDC [CHB-LI],6/30/2006,7.38,-110.1753944,31.62744444
3.12E+14,D-23-22 33ABD02 [ULLRICH],7/5/2006,17.78,-110.110575,31.39218056
3.12E+14,D-23-22 33ABD02 [ULLRICH],7/29/2006,16.92,-110.110575,31.39218056
3.14E+14,D-21-22 19CDB1 [CLRSUS],8/4/2006,14.16,-110.1500505,31.58576109
3.14E+14,D-21-22 19CDB2 [CLRSUD],8/4/2006,13.18,-110.1497172,31.5857333
3.12E+14,D-23-22 33DCD2 [PALO DEEP],8/10/2006,14.18,-110.1103549,31.38010095
3.14E+14,D-21-22 19CDB1 [CLRSUS],8/10/2006,14.54,-110.1500505,31.58576109
3.14E+14,D-21-22 19CDB2 [CLRSUD],8/10/2006,13.69,-110.1497172,31.5857333
3.12E+14,D-23-22 33ABD02 [ULLRICH],8/12/2006,15.99,-110.110575,31.39218056
3.12E+14,D-23-22 33ABD02 [ULLRICH],8/12/2006,15.68,-110.110575,31.39218056
3.12E+14,D-23-22 33ABD02 [ULLRICH],8/13/2006,15.95,-110.110575,31.39218056
3.14E+14,D-21-21 13BAB4 [MOSLNW],8/17/2006,5.82,-110.1676083,31.611775
3.14E+14,D-21-21 13BAC1 [MOSWAS],8/17/2006,9.56,-110.1671056,31.61073889
3.14E+14,D-21-21 13BAB2 [MOSLND],8/17/2006,2.48,-110.1674778,31.6118972
3.14E+14,D-21-21 13BAB1 [MOSLNS],8/17/2006,2.62,-110.1674778,31.6119
3.14E+14,D-21-21 02DDC [CHB-LI],8/17/2006,3.89,-110.1753944,31.62744444
3.13E+14,D-22-22 17BDD2 [COTUWD],8/22/2006,1.97,-110.1317528,31.51913889
3.14E+14,D-20-21 10AAC2 [FBK-UP],8/31/2006,33.37,-110.1837167,31.713525
3.12E+14,D-23-22 33ABD02 [ULLRICH],9/1/2006,15.58,-110.110575,31.39218056
3.14E+14,D-20-21 10AAC2 [FBK-UP],9/1/2006,33.38,-110.1837167,31.713525
3.12E+14,D-23-22 33ABD02 [ULLRICH],9/3/2006,16.34,-110.110575,31.39218056
3.14E+14,D-21-21 13BAC1 [MOSWAS],9/7/2006,9.99,-110.1671056,31.61073889
3.13E+14,D-22-22 06ABD [LSP-6],9/8/2006,26.68,-110.1457194,31.554
3.13E+14,D-22-22 06AAB [LSPUWD],9/8/2006,6.73,-110.1419444,31.55444444
3.15E+14,D-19-21 21ACC2 [CONLID],9/11/2006,3.23,-110.2031917,31.7671111
3.15E+14,D-19-21 08DAC1 [SUM-LI],9/13/2006,3.71,-110.2175806,31.7929861
3.14E+14,D-20-21 03CBA [FBK-LI],9/13/2006,12.36,-110.1933028,31.72146944
3.14E+14,D-20-21 03CAB [FBK-LO],9/13/2006,13.6,-110.1924889,31.7216861
3.14E+14,D-20-21 03CBA [FBK-LI],9/14/2006,12.35,-110.1933028,31.72146944
3.14E+14,D-20-21 14BCC2 [BOQSUD],9/14/2006,11.78,-110.1805278,31.69558889
3.14E+14,D-20-21 14BCC1 [BOQSUS],9/14/2006,25.48,-110.1805139,31.69561667
3.13E+14,D-23-22 09ACD1 [HERSUS],9/15/2006,15.23,-110.1109222,31.44523056
3.13E+14,D-23-22 09ACD2 [HERSUD],9/15/2006,15.57,-110.1109278,31.4451861
3.13E+14,D-23-22 04DCD3 [HERUES],9/18/2006,5.67,-110.1099389,31.454675
3.13E+14,D-23-22 04DCD4 [HERUED],9/18/2006,5.62,-110.1099306,31.4546722
3.13E+14,D-23-22 04DCA1 [HERUWS],9/18/2006,11.32,-110.1105194,31.45477778
3.14E+14,D-21-21 02DDC [CHB-LI],9/21/2006,4.51,-110.1753944,31.62744444
3.13E+14,D-22-22 28CCD [HUN-SO],9/22/2006,2.84,-110.1186389,31.48143889
3.13E+14,D-22-22 33BBC [HUN-UP],9/22/2006,22.74,-110.1194139,31.47880833
3.13E+14,D-23-22 04DCA1 [HERUWS],9/22/2006,11.8,-110.1105194,31.45477778
3.13E+14,D-22-22 28CAA1 [HUN-LI],9/22/2006,1.65,-110.1186889,31.4832611
3.13E+14,D-22-22 28CAA2 [HUN-LO],9/22/2006,2.6,-110.1199667,31.48331944
3.12E+14,D-23-22 33ABD02 [ULLRICH],9/23/2006,15.16,-110.110575,31.39218056
3.12E+14,D-24-22 04CBA4 [PAL-UD],9/25/2006,14.47,-110.1192944,31.36890556
3.12E+14,D-24-22 04CBC2 [PALUWD],9/25/2006,16.77,-110.1221194,31.37070278
3.12E+14,D-24-22 04CBA2 [PAL-LD],9/25/2006,5.44,-110.1187861,31.36905833
3.12E+14,D-24-22 04CBA3 [PAL-US],9/25/2006,14.58,-110.1192944,31.3689111
3.12E+14,D-24-22 04CBC1 [PALUWS],9/25/2006,17.53,-110.1221389,31.3707
3.13E+14,D-22-22 17BDD2 [COTUWD],9/29/2006,1.81,-110.1317528,31.51913889
3.12E+14,D-24-22 04ADD [PAL-SA],10/2/2006,31.25,-110.1064861,31.3739361
3.12E+14,D-24-22 08DBA1 [PLS-LI],10/2/2006,4.36,-110.1260028,31.3575222
3.12E+14,D-24-22 08DBA2 [PLS-LO],10/2/2006,8.52,-110.126375,31.35772778
3.13E+14,D-22-22 06AAA1 [LSPLED],10/3/2006,-1.17,-110.1386111,31.55305556
3.13E+14,D-22-22 05BBB3 [LSPLES],10/3/2006,3.92,-110.1386028,31.55300833
3.13E+14,D-22-22 05BBD2 [LSPUED],10/3/2006,8.38,-110.1376583,31.5533111
3.14E+14,D-21-21 13BAB4 [MOSLNW],10/3/2006,7.8,-110.1676083,31.611775
3.14E+14,D-21-21 13BAC1 [MOSWAS],10/3/2006,10.55,-110.1671056,31.61073889
3.14E+14,D-21-21 13BAB2 [MOSLND],10/3/2006,4.48,-110.1674778,31.6118972
3.14E+14,D-21-21 13BAB1 [MOSLNS],10/3/2006,4.61,-110.1674778,31.6119
3.13E+14,D-22-22 06AAA7 [LSP-2],10/4/2006,4.29,-110.1409118,31.5534288
3.13E+14,D-22-22 06AAA6 [LSP-1],10/4/2006,10.05,-110.1403562,31.5534288
3.13E+14,D-22-22 06AAA5 [LSP-5],10/4/2006,4.43,-110.1403562,31.5534288
3.13E+14,D-22-22 06AAA3 [LSP-3],10/4/2006,9.47,-110.1409118,31.5534288
3.13E+14,D-22-22 06AAA4 [LSP-4],10/4/2006,10.15,-110.1403562,31.5534288
3.13E+14,D-22-22 17ACC1 [COT-LS],10/5/2006,2.44,-110.1294444,31.5197222
3.13E+14,D-22-22 17ACC2 [COT-LD],10/5/2006,1.55,-110.1294444,31.5197222
3.13E+14,D-22-22 17ACC3 [COTBLM],10/5/2006,11.71,-110.1296389,31.5196
3.15E+14,D-19-21 05AAA1 [STD-LI],10/11/2006,5.1,-110.2156278,31.81713056
3.15E+14,D-19-21 05AAA2 [STD-LO],10/11/2006,8.06,-110.2146139,31.81788333
3.12E+14,D-23-22 33ABD02 [ULLRICH],10/14/2006,16.96,-110.110575,31.39218056
3.12E+14,D-23-22 22CBB1 [KOL-LI],10/16/2006,8.27,-110.1044444,31.4147611
3.12E+14,D-23-22 22CBB3 [KOL-UP],10/16/2006,8.9,-110.1035833,31.4149361
3.12E+14,D-23-22 22CBB2 [KOL-LO],10/16/2006,8.02,-110.1041667,31.41485833
3.14E+14,D-21-22 19CDB1 [CLRSUS],10/16/2006,15.46,-110.1500505,31.58576109
3.14E+14,D-21-22 19CDB2 [CLRSUD],10/16/2006,14.64,-110.1497172,31.5857333
3.14E+14,D-20-21 15DBD1 [BOQ-LI],10/17/2006,8.63,-110.1852472,31.69043056
3.14E+14,D-20-21 10AAC2 [FBK-UP],10/17/2006,32.95,-110.1837167,31.713525
3.14E+14,D-20-21 14BCC2 [BOQSUD],10/17/2006,12.01,-110.1805278,31.69558889
3.14E+14,D-20-21 14BCC1 [BOQSUS],10/17/2006,26.94,-110.1805139,31.69561667
3.13E+14,D-23-22 04DCD3 [HERUES],10/23/2006,7.05,-110.1099389,31.454675
3.13E+14,D-23-22 04DCD4 [HERUED],10/23/2006,7.04,-110.1099306,31.4546722
3.13E+14,D-22-22 28CCD [HUN-SO],10/23/2006,3.78,-110.1186389,31.48143889
3.13E+14,D-22-22 33BBC [HUN-UP],10/23/2006,23.85,-110.1194139,31.47880833
3.13E+14,D-23-22 04DCA1 [HERUWS],10/23/2006,12.77,-110.1105194,31.45477778
3.13E+14,D-22-22 28CAA1 [HUN-LI],10/23/2006,2.32,-110.1186889,31.4832611
3.13E+14,D-22-22 28CAA2 [HUN-LO],10/23/2006,3.61,-110.1199667,31.48331944
3.13E+14,D-23-22 09ACD1 [HERSUS],10/24/2006,16.89,-110.1109222,31.44523056
3.13E+14,D-23-22 09ACD2 [HERSUD],10/24/2006,17.24,-110.1109278,31.4451861
3.13E+14,D-23-22 04DCD1 [HER-LS],10/24/2006,5.47,-110.1097,31.45451944
3.13E+14,D-23-22 04DCD2 [HER-LD],10/24/2006,5.66,-110.1096972,31.45453333
3.14E+14,D-21-21 02DDC [CHB-LI],10/27/2006,5.26,-110.1753944,31.62744444
3.13E+14,D-22-22 06AAA1 [LSPLED],11/1/2006,3.38,-110.1386111,31.55305556
3.13E+14,D-22-22 05BBB3 [LSPLES],11/1/2006,4.22,-110.1386028,31.55300833
3.13E+14,D-22-22 05BBD2 [LSPUED],11/1/2006,8.68,-110.1376583,31.5533111
