Site,Variable,Fraction Missing,Longest Consecutive Gap,Gap Type,Start Date,Monthly Missing Fraction,Missingness by Flow
St.David,Flow Code,0.16811553561413348,577,systematic,2010-06-16,"{""1"": 0.1338709677419355, ""2"": 0.1168141592920354, ""3"": 0.15, ""4"": 0.17666666666666667, ""5"": 0.15, ""6"": 0.21666666666666667, ""7"": 0.13333333333333333, ""8"": 0.22241086587436332, ""9"": 0.2631578947368421, ""10"": 0.14261460101867574, ""11"": 0.15789473684210525, ""12"": 0.15789473684210525}",{}
St.David,Precipitation,0.0007010656197420079,1,random,2008-12-31,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.008488964346349746}","{""-1"": 0.0, ""0"": 0.0012557555462536626, ""1"": 0.0, ""2"": 0.0007342143906020558}"
St.David,ET,0.12941671340437466,923,systematic,2023-01-01,"{""1"": 0.15, ""2"": 0.1504424778761062, ""3"": 0.15, ""4"": 0.15, ""5"": 0.15, ""6"": 0.15, ""7"": 0.12166666666666667, ""8"": 0.10526315789473684, ""9"": 0.10526315789473684, ""10"": 0.10526315789473684, ""11"": 0.10526315789473684, ""12"": 0.10526315789473684}","{""-1"": 0.0, ""0"": 0.26370866471326915, ""1"": 0.006793478260869565, ""2"": 0.07048458149779736}"
St.David,Temperature,0.0007010656197420079,1,random,2008-12-31,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.008488964346349746}","{""-1"": 0.0, ""0"": 0.0012557555462536626, ""1"": 0.0, ""2"": 0.0007342143906020558}"
St.David,VPD,0.0007010656197420079,1,random,2008-12-31,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.008488964346349746}","{""-1"": 0.0, ""0"": 0.0012557555462536626, ""1"": 0.0, ""2"": 0.0007342143906020558}"
Contention,Flow Code,0.1074032529444756,220,random,2010-01-10,"{""1"": 0.1596774193548387, ""2"": 0.1504424778761062, ""3"": 0.13225806451612904, ""4"": 0.13333333333333333, ""5"": 0.1, ""6"": 0.12166666666666667, ""7"": 0.12166666666666667, ""8"": 0.0730050933786078, ""9"": 0.01929824561403509, ""10"": 0.06112054329371817, ""11"": 0.10526315789473684, ""12"": 0.10526315789473684}",{}
Contention,Precipitation,0.0007010656197420079,1,random,2008-12-31,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.008488964346349746}","{""0"": 0.0007044734061289186, ""1"": 0.0, ""2"": 0.0009085402786190188}"
Contention,ET,0.12941671340437466,923,systematic,2023-01-01,"{""1"": 0.15, ""2"": 0.1504424778761062, ""3"": 0.15, ""4"": 0.15, ""5"": 0.15, ""6"": 0.15, ""7"": 0.12166666666666667, ""8"": 0.10526315789473684, ""9"": 0.10526315789473684, ""10"": 0.10526315789473684, ""11"": 0.10526315789473684, ""12"": 0.10526315789473684}","{""0"": 0.2581895033462487, ""1"": 0.017777777777777778, ""2"": 0.04875832828588734}"
Contention,Temperature,0.0007010656197420079,1,random,2008-12-31,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.008488964346349746}","{""0"": 0.0007044734061289186, ""1"": 0.0, ""2"": 0.0009085402786190188}"
Contention,VPD,0.0007010656197420079,1,random,2008-12-31,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.008488964346349746}","{""0"": 0.0007044734061289186, ""1"": 0.0, ""2"": 0.0009085402786190188}"
