OBJECTID,datetime,datetime_utc,device_sn,device_name,battery_percentage,battery_voltage,EC,logger_temperature,precipitation,max_precip_rate,reference_pressure,water_content_3in,soil_temp_3in,water_content_12in,soil_temp_12in,depth_to_groundwater,water_temperature,water_elevation,latitude,longitude
4483,2025-04-04T13:00:00-07:00,4/4/2025,z6-27513,Babocomari,100,8571,0.6,11.6,0.007874016,0.472440945,87.15,null,null,null,null,46.05172441,19.8,4107.628276,31.6647811,-110.286859
4486,2025-04-04T13:45:00-07:00,4/4/2025,z6-27513,Babocomari,100,8567,0.6,12.1,0.007874016,0.472440945,87.17,null,null,null,null,46.05172441,19.8,4107.628276,31.6647811,-110.286859
4487,2025-04-04T14:00:00-07:00,4/4/2025,z6-27513,Babocomari,100,8559,0.601,10.4,0.007874016,0.472440945,87.2,null,null,null,null,46.05500525,19.8,4107.624995,31.6647811,-110.286859
4488,2025-04-04T14:15:00-07:00,4/4/2025,z6-27513,Babocomari,100,8555,0.601,9,0.007874016,0.472440945,87.2,null,null,null,null,46.05500525,19.8,4107.624995,31.6647811,-110.286859
4489,2025-04-04T14:30:00-07:00,4/4/2025,z6-27513,Babocomari,100,8551,0.6,8.1,0.007874016,0.472440945,87.18,null,null,null,null,46.05828609,19.8,4107.621714,31.6647811,-110.286859
4490,2025-04-04T14:45:00-07:00,4/4/2025,z6-27513,Babocomari,100,8551,0.601,7.8,0.007874016,0.472440945,87.18,null,null,null,null,46.05500525,19.8,4107.624995,31.6647811,-110.286859
4491,2025-04-04T15:00:00-07:00,4/4/2025,z6-27513,Babocomari,100,8563,0.6,7.5,0.015748031,0.472440945,87.18,null,null,null,null,46.05500525,19.8,4107.624995,31.6647811,-110.286859
4587,2025-04-05T15:00:00-07:00,4/5/2025,z6-27513,Babocomari,100,8534,0.598,14.3,0.015748031,0.472440945,87.55,null,null,null,null,46.05828609,19.8,4107.621714,31.6647811,-110.286859
6262,2025-03-12T05:45:00-07:00,3/11/2025,z6-27513,Babocomari,100,8331,0.628,6,0.007874016,0.472440945,87.36,null,null,null,null,45.97954593,19.8,4107.700454,31.6647811,-110.286859
6416,2025-03-13T20:15:00-07:00,3/13/2025,z6-27513,Babocomari,100,8428,0.627,10.6,0.007874016,0.472440945,86.61,null,null,null,null,45.99266929,19.8,4107.687331,31.6647811,-110.286859
6417,2025-03-13T20:30:00-07:00,3/13/2025,z6-27513,Babocomari,100,8423,0.627,9.5,0.007874016,0.472440945,86.63,null,null,null,null,45.99266929,19.8,4107.687331,31.6647811,-110.286859
6418,2025-03-13T20:45:00-07:00,3/13/2025,z6-27513,Babocomari,100,8423,0.627,8.9,0.047244094,0.472440945,86.7,null,null,null,null,45.99595013,19.8,4107.68405,31.6647811,-110.286859
6419,2025-03-13T21:00:00-07:00,3/13/2025,z6-27513,Babocomari,100,8419,0.625,8.2,0.007874016,0.472440945,86.74,null,null,null,null,45.99595013,19.8,4107.68405,31.6647811,-110.286859
6420,2025-03-13T21:15:00-07:00,3/13/2025,z6-27513,Babocomari,100,8418,0.625,7.6,0.007874016,0.472440945,86.75,null,null,null,null,45.99266929,19.8,4107.687331,31.6647811,-110.286859
6422,2025-03-13T21:45:00-07:00,3/13/2025,z6-27513,Babocomari,100,8413,0.625,6.8,0.007874016,0.472440945,86.82,null,null,null,null,45.99595013,19.8,4107.68405,31.6647811,-110.286859
6429,2025-03-13T23:30:00-07:00,3/13/2025,z6-27513,Babocomari,100,8404,0.625,5.2,0.007874016,0.472440945,86.92,null,null,null,null,45.99923097,19.8,4107.680769,31.6647811,-110.286859
6434,2025-03-14T00:45:00-07:00,3/13/2025,z6-27513,Babocomari,100,8381,0.625,3.9,0.007874016,0.472440945,86.94,null,null,null,null,45.99595013,19.8,4107.68405,31.6647811,-110.286859
6435,2025-03-14T01:00:00-07:00,3/13/2025,z6-27513,Babocomari,100,8379,0.625,3.7,0.007874016,0.472440945,86.94,null,null,null,null,45.99595013,19.8,4107.68405,31.6647811,-110.286859
6527,2025-03-15T00:00:00-07:00,3/14/2025,z6-27513,Babocomari,100,8475,0.624,4,0.015748031,0.472440945,86.92,null,null,null,null,45.99595013,19.8,4107.68405,31.6647811,-110.286859
6531,2025-03-15T01:00:00-07:00,3/14/2025,z6-27513,Babocomari,100,8450,0.622,2.4,0.007874016,0.472440945,86.85,null,null,null,null,45.99595013,19.8,4107.68405,31.6647811,-110.286859
