,date,AFG,BGR,LTR,PFG,SHR,TRE,date
0,1986,7,14,10,27,20,7,1986
1,1987,2,17,10,18,22,10,1987
2,1988,2,20,8,27,15,7,1988
3,1989,1,19,12,28,15,9,1989
4,1990,1,22,11,28,17,6,1990
5,1991,1,22,12,27,14,6,1991
6,1992,5,16,10,28,20,7,1992
7,1993,6,16,10,20,25,8,1993
8,1994,3,11,9,30,21,7,1994
9,1995,6,9,9,30,23,7,1995
10,1996,5,7,9,31,23,8,1996
11,1997,7,8,9,27,23,8,1997
12,1998,6,13,10,24,21,9,1998
13,1999,10,6,7,34,19,7,1999
14,2000,8,4,10,33,16,6,2000
15,2001,3,7,9,31,21,8,2001
16,2002,4,9,10,28,23,7,2002
17,2003,3,8,10,32,19,5,2003
18,2004,2,13,10,25,24,6,2004
19,2005,2,13,10,23,25,6,2005
20,2006,13,8,9,29,19,6,2006
21,2007,9,7,10,30,17,8,2007
22,2008,9,6,8,30,20,6,2008
23,2009,4,10,11,27,20,6,2009
24,2010,5,7,9,36,20,5,2010
25,2011,8,5,11,30,20,5,2011
26,2012,6,6,10,29,18,6,2012
27,2013,4,10,12,25,20,5,2013
28,2014,6,8,10,24,23,6,2014
29,2015,8,11,12,20,25,7,2015
30,2016,2,10,12,19,30,6,2016
31,2017,7,8,10,26,25,6,2017
32,2018,6,8,12,23,23,7,2018
33,2019,1,10,11,19,28,6,2019
34,2020,1,13,10,14,33,6,2020
35,2021,5,10,11,16,30,7,2021
36,2022,9,6,10,19,25,10,2022
37,2023,7,7,12,22,25,10,2023
38,2024,2,13,11,16,31,8,2024
