,date,AFG,BGR,LTR,PFG,SHR,TRE,date
0,1986,8,13,11,32,21,8,1986
1,1987,2,18,12,16,24,16,1987
2,1988,1,15,7,27,19,12,1988
3,1989,2,13,12,35,15,15,1989
4,1990,3,16,11,36,18,9,1990
5,1991,3,17,13,31,20,8,1991
6,1992,7,13,11,30,27,8,1992
7,1993,10,12,12,22,30,10,1993
8,1994,7,9,11,28,25,12,1994
9,1995,6,9,11,24,29,14,1995
10,1996,8,8,11,25,29,16,1996
11,1997,7,8,12,27,25,15,1997
12,1998,9,9,10,28,23,14,1998
13,1999,11,6,9,37,23,13,1999
14,2000,7,8,13,35,19,13,2000
15,2001,5,8,13,27,26,17,2001
16,2002,7,7,13,25,26,15,2002
17,2003,5,12,15,26,24,12,2003
18,2004,5,14,14,20,27,12,2004
19,2005,4,14,14,19,27,14,2005
20,2006,12,8,11,28,24,13,2006
21,2007,9,10,13,26,23,17,2007
22,2008,11,6,10,32,22,13,2008
23,2009,7,10,14,29,24,14,2009
24,2010,9,6,11,34,24,12,2010
25,2011,9,7,15,28,22,12,2011
26,2012,8,6,14,27,20,16,2012
27,2013,5,11,16,22,23,15,2013
28,2014,5,8,15,19,28,13,2014
29,2015,5,11,15,18,29,10,2015
30,2016,3,10,16,13,33,10,2016
31,2017,8,8,13,19,29,13,2017
32,2018,6,10,15,18,26,19,2018
33,2019,3,10,14,14,32,16,2019
34,2020,4,12,14,8,39,16,2020
35,2021,7,11,14,13,32,19,2021
36,2022,7,7,12,15,26,28,2022
37,2023,5,8,15,8,36,25,2023
38,2024,3,12,15,10,34,15,2024
