,date,AFG,BGR,LTR,PFG,SHR,TRE,date
0,1986,7,19,11,19,22,5,1986
1,1987,3,26,12,13,21,10,1987
2,1988,2,23,9,25,17,8,1988
3,1989,2,23,14,26,14,9,1989
4,1990,3,24,11,25,16,6,1990
5,1991,2,25,13,23,17,6,1991
6,1992,6,18,11,20,25,7,1992
7,1993,8,18,11,12,31,7,1993
8,1994,2,12,10,23,26,7,1994
9,1995,4,11,10,23,28,6,1995
10,1996,2,14,12,19,28,7,1996
11,1997,3,17,12,22,23,6,1997
12,1998,2,21,12,19,23,6,1998
13,1999,3,15,9,28,22,5,1999
14,2000,7,11,10,26,20,5,2000
15,2001,5,9,10,25,24,8,2001
16,2002,2,14,13,25,24,7,2002
17,2003,1,15,12,26,21,5,2003
18,2004,1,17,11,20,24,4,2004
19,2005,1,17,10,22,23,4,2005
20,2006,12,14,10,24,19,6,2006
21,2007,5,18,13,23,19,6,2007
22,2008,8,14,10,23,20,7,2008
23,2009,4,18,13,24,19,6,2009
24,2010,9,13,10,27,19,5,2010
25,2011,9,14,14,25,17,6,2011
26,2012,7,12,12,27,15,6,2012
27,2013,6,17,13,21,18,5,2013
28,2014,8,13,12,19,23,6,2014
29,2015,5,16,15,13,27,6,2015
30,2016,3,15,12,12,30,7,2016
31,2017,8,13,11,20,24,8,2017
32,2018,5,15,15,15,24,8,2018
33,2019,2,13,10,12,28,7,2019
34,2020,2,17,11,8,31,8,2020
35,2021,8,14,11,12,27,7,2021
36,2022,11,8,11,20,21,10,2022
37,2023,6,12,16,17,25,10,2023
38,2024,2,16,12,12,27,6,2024
