,date,AFG,BGR,LTR,PFG,SHR,TRE,date
0,1986,10,15,13,22,20,9,1986
1,1987,3,21,12,14,19,17,1987
2,1988,1,13,7,27,9,10,1988
3,1989,6,17,21,27,12,13,1989
4,1990,4,17,16,32,17,6,1990
5,1991,4,17,17,29,16,7,1991
6,1992,12,10,12,25,27,10,1992
7,1993,12,9,13,19,31,13,1993
8,1994,5,11,15,24,26,10,1994
9,1995,7,11,14,18,31,13,1995
10,1996,6,13,16,14,26,25,1996
11,1997,5,13,14,16,22,29,1997
12,1998,7,14,14,18,24,23,1998
13,1999,12,6,9,33,22,20,1999
14,2000,8,10,14,27,19,25,2000
15,2001,8,6,10,23,24,32,2001
16,2002,7,10,15,20,28,22,2002
17,2003,6,11,15,22,25,19,2003
18,2004,6,15,15,17,28,20,2004
19,2005,5,13,14,20,28,18,2005
20,2006,13,6,12,24,25,18,2006
21,2007,10,8,13,21,25,20,2007
22,2008,12,5,12,28,24,13,2008
23,2009,7,10,15,27,25,12,2009
24,2010,7,8,15,28,24,13,2010
25,2011,9,10,17,20,24,17,2011
26,2012,10,6,13,23,21,27,2012
27,2013,8,6,13,24,23,28,2013
28,2014,10,7,13,25,29,12,2014
29,2015,7,9,15,20,29,9,2015
30,2016,4,9,15,17,32,9,2016
31,2017,7,7,14,18,32,15,2017
32,2018,4,9,13,13,32,27,2018
33,2019,3,10,13,10,35,25,2019
34,2020,2,11,12,5,43,25,2020
35,2021,3,10,14,6,35,34,2021
36,2022,3,7,11,6,37,40,2022
37,2023,3,5,12,6,44,31,2023
38,2024,3,10,12,10,35,24,2024
