,date,AFG,BGR,LTR,PFG,SHR,TRE,date
0,1986,9,25,12,25,15,4,1986
1,1987,5,31,12,16,20,8,1987
2,1988,1,27,10,25,12,7,1988
3,1989,4,25,13,29,12,6,1989
4,1990,4,30,12,31,12,4,1990
5,1991,3,32,15,28,11,3,1991
6,1992,6,18,10,34,17,4,1992
7,1993,7,18,11,31,21,4,1993
8,1994,1,22,13,30,18,5,1994
9,1995,5,18,9,33,18,4,1995
10,1996,10,13,11,36,17,5,1996
11,1997,5,24,15,34,13,3,1997
12,1998,5,25,11,36,14,4,1998
13,1999,12,32,13,26,10,3,1999
14,2000,17,28,15,23,9,4,2000
15,2001,10,22,14,28,15,5,2001
16,2002,5,26,16,26,16,4,2002
17,2003,5,36,15,29,9,2,2003
18,2004,5,39,14,21,12,2,2004
19,2005,10,29,10,27,13,3,2005
20,2006,15,23,12,29,11,3,2006
21,2007,12,20,12,33,10,4,2007
22,2008,12,19,11,36,10,4,2008
23,2009,5,24,14,37,9,3,2009
24,2010,13,19,11,41,10,3,2010
25,2011,11,20,15,34,10,3,2011
26,2012,7,21,15,40,8,3,2012
27,2013,14,21,13,31,11,4,2013
28,2014,9,19,16,29,12,5,2014
29,2015,6,19,16,25,18,7,2015
30,2016,5,18,16,26,21,6,2016
31,2017,7,15,12,39,14,5,2017
32,2018,6,16,14,40,13,5,2018
33,2019,6,17,14,31,16,6,2019
34,2020,7,19,13,24,25,6,2020
35,2021,6,16,13,31,18,5,2021
36,2022,9,13,13,31,15,6,2022
37,2023,6,16,17,26,17,7,2023
38,2024,5,22,16,23,20,5,2024
