,date,AFG,BGR,LTR,PFG,SHR,TRE,date
0,1986,6,19,11,22,19,6,1986
1,1987,2,23,10,11,20,12,1987
2,1988,2,21,8,23,12,11,1988
3,1989,3,19,12,28,12,11,1989
4,1990,3,21,11,26,15,9,1990
5,1991,2,21,12,25,16,8,1991
6,1992,6,17,11,22,24,9,1992
7,1993,6,17,11,16,26,10,1993
8,1994,2,15,11,20,23,10,1994
9,1995,4,11,10,19,24,9,1995
10,1996,4,12,11,21,24,15,1996
11,1997,3,17,13,19,21,15,1997
12,1998,5,17,10,22,21,14,1998
13,1999,6,13,9,32,20,13,1999
14,2000,4,14,12,27,19,12,2000
15,2001,4,12,10,20,23,18,2001
16,2002,4,13,13,17,25,16,2002
17,2003,2,15,12,19,21,12,2003
18,2004,2,16,10,13,25,12,2004
19,2005,3,15,10,15,25,14,2005
20,2006,7,12,10,20,23,17,2006
21,2007,4,14,11,19,22,19,2007
22,2008,7,11,9,25,22,13,2008
23,2009,6,13,12,24,23,13,2009
24,2010,4,11,11,25,24,14,2010
25,2011,7,10,12,24,21,14,2011
26,2012,6,10,12,23,18,18,2012
27,2013,7,13,12,20,20,16,2013
28,2014,6,13,12,18,22,14,2014
29,2015,4,13,12,12,28,10,2015
30,2016,2,12,12,12,32,11,2016
31,2017,6,11,12,18,27,13,2017
32,2018,5,11,12,19,25,14,2018
33,2019,3,11,12,15,30,12,2019
34,2020,2,13,11,9,37,11,2020
35,2021,8,9,11,16,28,15,2021
36,2022,8,7,11,21,22,19,2022
37,2023,4,10,14,14,32,15,2023
38,2024,2,14,12,11,30,10,2024
