,date,AFG,BGR,LTR,PFG,SHR,TRE,date
0,1986,9,13,11,24,18,10,1986
1,1987,3,17,11,11,20,17,1987
2,1988,1,10,5,24,14,15,1988
3,1989,3,11,12,27,11,20,1989
4,1990,3,11,9,29,13,14,1990
5,1991,3,14,12,26,19,12,1991
6,1992,9,9,9,25,26,13,1992
7,1993,10,10,11,16,30,16,1993
8,1994,4,10,12,16,27,15,1994
9,1995,5,10,10,15,34,14,1995
10,1996,4,11,12,15,29,23,1996
11,1997,3,14,13,19,23,19,1997
12,1998,4,15,12,19,25,17,1998
13,1999,8,9,9,31,22,19,1999
14,2000,6,10,12,31,20,20,2000
15,2001,5,10,11,20,24,29,2001
16,2002,4,11,12,18,26,25,2002
17,2003,3,15,13,18,24,20,2003
18,2004,3,18,13,15,28,15,2004
19,2005,3,16,11,17,27,16,2005
20,2006,10,11,11,22,24,18,2006
21,2007,5,14,14,19,23,23,2007
22,2008,8,10,10,21,24,21,2008
23,2009,5,14,13,21,24,19,2009
24,2010,6,9,11,26,23,19,2010
25,2011,7,11,15,21,21,19,2011
26,2012,7,10,13,21,20,23,2012
27,2013,7,14,14,18,23,18,2013
28,2014,8,11,13,15,27,15,2014
29,2015,4,12,13,12,30,11,2015
30,2016,2,11,12,11,34,13,2016
31,2017,4,10,12,14,30,19,2017
32,2018,3,11,12,13,26,23,2018
33,2019,1,12,11,8,29,22,2019
34,2020,1,13,10,4,36,23,2020
35,2021,3,11,12,11,30,25,2021
36,2022,4,7,10,12,29,33,2022
37,2023,3,9,11,7,35,33,2023
38,2024,1,16,12,8,34,16,2024
