Site,Camera,Date,Time,Observers,Latitude,Longitude,Active,Wetted,Depth,Bankfull,Gradient,X-Slope,Continuous,Pools,Pools in Reach,Material,Largest Particle,Sorting,Armoring,Filling,Moisture,Iron,Manganese,Reduced Gray,Algae,Persistent Wet,Seepage,Spring,Crust,Channel Bed,Bank Toe,Mid-Bank,Floodplain,Depth to Moist,Water Temp,Sediment Temp,Shade Temp,Sun Temp,Seep Height,Seep Condition,Vegetation,Green,Vegetation Wet Only,Roots,Bermuda Grass,Cottonwood,Other,Groundwater Contribution
Fairbank,1,3/17/26,8:16,"Dana, Eric",31.72242,-110.19408,15.2,,,,0.5,0,1,0,0,Gravel,30,Poor,1,1,Saturated,0,0,0,1,1,0,0,0,0,0,0,0,0,9.1,7.1,14.4,15.8,,,,1,0,1,0,0,0,None
CharlestonMesquite,2,3/19/26,11.13,"Dana, Eric",31.66574,-110.17915,15.4,4.1,10.7,,0.2,2,1,0,0,Cobble,50,Moderate,1,1,Varied,0,0,0,1,0,1,0,0,0,1,0,0,3.2,18,18.8,31.9,36.6,,0,1,1,0,1,1,1,1,Moderate
Hunter,4,3/17/26,12:38,"Dana, Eric",31.48163,-110.11827,7.6,4.5,32.9,,1,2,1,0,0,Sand,,Poor,1,1,Varied,0,0,0,1,0,0,0,0,0,1,1,0,5.7,17.2,20.3,26.4,32.2,10,0,1,1,0,1,1,0,0,None
Contention,6,3/16/26,13:19,"Sam, Dana, Eric",31.76779,-110.20575,20.2,0,0,,0,0,0,0,0,Gravel,30,Moderate,1,1,Dry,0,0,0,0,1,0,0,0,1,0,0,0,10.4,,16.3,27.1,28,,,1,1,0,1,1,0,0,None
St.David,7,3/16/26,10:30,"Dana, Sam Eric",31.80864,-110.20963,14.1,0,0,26.1,0,0,0,0,0,Sand,15,Moderate,0,0,Dry,0,0,0,0,0,1,0,0,0,1,1,0,16.6,0,14.1,24.9,32.1,50,0,1,1,0,1,1,0,1,Weak
Boquillas,8,3/17/26,9:25,"Dana, Eric",31.72131,-110.18838,12.9,4.7,,,0,2,1,0,0,Gravel,150,Moderate,1,1,Varied,0,0,0,1,1,1,0,0,0,1,0,0,1.7,13.4,15.3,22.1,23.7,30,0,1,1,0,1,1,0,0,Weak
LewisSprings,,3/19/26,13:36,"Dana, Eric",31.5542,-110.14037,7.9,5.2,8.8,,1.5,3.5,1,0,0,Cobble,80,Moderate,1,1,Saturated,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,0,1,1,0,1,1,0,1,
Cottonwood,,3/17/26,2:35,"Dana, Eric",31.53127,-110.12979,17.7,17.7,16.9,,1,1.8,1,0,0,Sand,Big,Poor,1,1,Saturated,0,0,0,0,0,1,0,0,0,1,0,0,0,18.9,,29.7,34.5,,0,1,1,0,1,1,1,1,Weak
FairbankNorth,,3/16/26,14:51,"Dana, Sam, Eric",31.7508,-110.20086,18,5.1,7.05,,1,3,1,0,0,Gravel,,Poor,1,1,Varied,0,0,0,1,1,0,0,0,0,0,0,0,5.3,23.1,20.8,27.5,27.8,,,1,1,0,1,1,0,1,None
Escalante,,3/19/26,,"Dana, Eric",31.86145,-110.21076,8.5,3.3,3,,0.5,0,1,0,0,Sand,30,Well,0,1,Saturated,0,0,0,1,1,0,0,0,1,0,0,0,0,18.8,15.5,20.9,26.7,,0,1,1,0,1,1,1,1,
