"type","variable","method","WY","value","bp_year","segment_id","segment_start_year","segment_end_year","intercept","slope","mean","sd"
"series","FP",NA,2006,0.85054347826087,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2007,0.793478260869565,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2008,0.917431192660551,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2009,0.432727272727273,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2010,0.963235294117647,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2011,0.854545454545454,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2012,0.932065217391304,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2013,0.956395348837209,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2014,0.929347826086957,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2015,0.815217391304348,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2016,0.752727272727273,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2017,0.690196078431373,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2018,0.652173913043478,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2019,0.475083056478405,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2020,0.258152173913043,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2021,0.863492063492064,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2022,0.934782608695652,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2023,0.111413043478261,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2024,0.449275362318841,NA,NA,NA,NA,NA,NA,NA,NA
"series","FP",NA,2025,0,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2006,1045.51,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2007,960.76,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2008,1081.76,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2009,386.46,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2010,1011.46,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2011,970.8,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2012,837.68,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2013,816.15,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2014,1358.79,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2015,825.75,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2016,910.12,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2017,615.34,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2018,573.06,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2019,828.31,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2020,330.5,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2021,1166.53,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2022,969.46,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2023,331.24,NA,NA,NA,NA,NA,NA,NA,NA
"series","precip",NA,2024,502.22,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2006,1.9035991832649,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2007,1.92970520464431,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2008,1.7244446551801,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2009,2.41957205693716,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2010,2.10472489117785,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2011,2.20908804925344,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2012,2.11634141147769,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2013,1.9901957371651,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2014,2.05965753851654,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2015,2.17549787860051,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2016,2.07081615023696,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2017,2.23795497529017,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2018,2.37551026433436,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2019,2.77385782238069,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2020,3.19491479381873,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2021,1.95877514759263,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2022,2.01589384630319,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2023,3.30757610874782,NA,NA,NA,NA,NA,NA,NA,NA
"series","vpd",NA,2024,2.57594393400002,NA,NA,NA,NA,NA,NA,NA,NA
"series","gw",NA,2006,384.047999999928,NA,NA,NA,NA,NA,NA,NA,NA
"series","gw",NA,2007,210.312000000017,NA,NA,NA,NA,NA,NA,NA,NA
"series","gw",NA,2008,201.168000000094,NA,NA,NA,NA,NA,NA,NA,NA
"series","gw",NA,2009,85.344000000061,NA,NA,NA,NA,NA,NA,NA,NA
"series","gw",NA,2010,332.232000000044,NA,NA,NA,NA,NA,NA,NA,NA
"series","gw",NA,2011,60.9599999999446,NA,NA,NA,NA,NA,NA,NA,NA
"series","gw",NA,2012,356.616000000022,NA,NA,NA,NA,NA,NA,NA,NA
"series","gw",NA,2013,149.351999999933,NA,NA,NA,NA,NA,NA,NA,NA
"series","gw",NA,2015,609.6,NA,NA,NA,NA,NA,NA,NA,NA
"series","gw",NA,2022,252.983999999978,NA,NA,NA,NA,NA,NA,NA,NA
"series","gw",NA,2023,283.46399999995,NA,NA,NA,NA,NA,NA,NA,NA
"series","gw",NA,2024,97.5360000000499,NA,NA,NA,NA,NA,NA,NA,NA
"series","gw",NA,2025,0,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2006,20.0394451207656,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2007,27.8089327052306,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2008,19.3787374233076,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2009,41.6347731013788,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2010,15.703188885883,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2011,17.0584595100702,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2012,17.9226811212235,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2013,14.5442201759581,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2014,13.9719779291695,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2015,35.8691668544478,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2016,27.0152072514162,NA,NA,NA,NA,NA,NA,NA,NA
