Name,x,y
Hereford Camera,-110.1096756950508,31.461756403292412
Hunter Camera,-110.1185904409986,31.480881714576803
Moson Camera,-110.1669322058037,31.611438322258415
CharlestonMesquite Camera,-110.17884125189471,31.665863410514053
Boquillas Camera,-110.1851520039146,31.68970353050123
Fairbank Camera,-110.1937962664735,31.722309219182545
Contention Camera,-110.2051482091703,31.767399218419985
St.David Camera,-110.2093181242019,31.808501107594026
Untitled Placemark,-110.1089232993884,31.455625177448255
Untitled Placemark,-110.11794477844,31.482374929215453
Wrightson,-110.831880409656,31.66942851756361
Ramsey,-110.3070196997348,31.45160408014214
Chiricahua,-109.9086935989675,31.49526853498207
Rincon,-110.5379497956309,32.18032978080821
Lemmon,-110.7393884523532,32.42404777438296
Natural Drainages,-110.9829591440101,33.77612758810206
Aztec Peak,-110.9745245955662,33.84945658449804
Flagstaff,-111.4395692167066,35.40286847028934
Prescott,-112.5898659951975,34.54541075193843
WG,-110.0176615744421,31.75295729821969
Dragoon,-109.981609003595,31.90776837563973
Graham,-109.9928917141278,32.73367162052118
Apache-Sitgreaves,-109.6450744669167,33.66044431401712
